Title,Description,Labels,Status
Cadastro de filiado,"Como administrador, quero cadastrar um novo filiado com seus dados pessoais e profissionais para manter o controle da associação.","User Story, Backlog",Backlog
Criar modelo de dados do filiado no banco,Tarefa relacionada à história US1.1,"Task, Backlog",Backlog
Criar endpoint de API para cadastro,Tarefa relacionada à história US1.1,"Task, Backlog",Backlog
Criar formulário no frontend,Tarefa relacionada à história US1.1,"Task, Backlog",Backlog
Validar campos obrigatórios,Tarefa relacionada à história US1.1,"Task, Backlog",Backlog
Testar fluxo de cadastro,Tarefa relacionada à história US1.1,"Task, Backlog",Backlog
Edição e exclusão de filiado,"Como administrador, quero visualizar, editar e excluir filiados para manter os dados atualizados.","User Story, Backlog",Backlog
Criar endpoint de API para edição,Tarefa relacionada à história US1.2,"Task, Backlog",Backlog
Criar endpoint de API para exclusão,Tarefa relacionada à história US1.2,"Task, Backlog",Backlog
Criar interface de edição no frontend,Tarefa relacionada à história US1.2,"Task, Backlog",Backlog
Testar fluxo de edição e exclusão,Tarefa relacionada à história US1.2,"Task, Backlog",Backlog
Visualização de perfil de filiado,"Como filiado, quero acessar meus dados e documentos para acompanhar minha situação na associação.","User Story, Backlog",Backlog
Criar endpoint de API para visualização,Tarefa relacionada à história US1.3,"Task, Backlog",Backlog
Criar interface de visualização no frontend,Tarefa relacionada à história US1.3,"Task, Backlog",Backlog
Testar fluxo de visualização,Tarefa relacionada à história US1.3,"Task, Backlog",Backlog
Upload de documentos,"Como administrador, quero fazer upload de documentos necessários para a filiação.","User Story, Backlog",Backlog
Criar modelo de dados para documentos,Tarefa relacionada à história US2.1,"Task, Backlog",Backlog
Criar endpoint de API para upload,Tarefa relacionada à história US2.1,"Task, Backlog",Backlog
Criar interface de upload no frontend,Tarefa relacionada à história US2.1,"Task, Backlog",Backlog
Validar tipos de documentos,Tarefa relacionada à história US2.1,"Task, Backlog",Backlog
Testar fluxo de upload,Tarefa relacionada à história US2.1,"Task, Backlog",Backlog
Validação de documentos,"Como administrador, quero validar os documentos enviados para garantir a conformidade.","User Story, Backlog",Backlog
Criar lógica de validação de documentos,Tarefa relacionada à história US2.2,"Task, Backlog",Backlog
Criar interface de validação no frontend,Tarefa relacionada à história US2.2,"Task, Backlog",Backlog
Testar fluxo de validação,Tarefa relacionada à história US2.2,"Task, Backlog",Backlog
Download e visualização de documentos,"Como filiado, quero visualizar e fazer download dos documentos enviados.","User Story, Backlog",Backlog
Criar endpoint de API para download,Tarefa relacionada à história US2.3,"Task, Backlog",Backlog
Criar interface de visualização no frontend,Tarefa relacionada à história US2.3,"Task, Backlog",Backlog
Testar fluxo de download e visualização,Tarefa relacionada à história US2.3,"Task, Backlog",Backlog
Definir planos de mensalidades,"Como administrador, quero definir planos de mensalidades (mensal/anual) para os filiados.","User Story, Backlog",Backlog
Criar modelo de dados para planos,Tarefa relacionada à história US3.1,"Task, Backlog",Backlog
Criar endpoint de API para definição de planos,Tarefa relacionada à história US3.1,"Task, Backlog",Backlog
Criar interface de definição de planos no frontend,Tarefa relacionada à história US3.1,"Task, Backlog",Backlog
Testar fluxo de definição de planos,Tarefa relacionada à história US3.1,"Task, Backlog",Backlog
Registrar pagamentos,"Como administrador, quero registrar os pagamentos realizados pelos filiados.","User Story, Backlog",Backlog
Criar modelo de dados para pagamentos,Tarefa relacionada à história US3.2,"Task, Backlog",Backlog
Criar endpoint de API para registro de pagamentos,Tarefa relacionada à história US3.2,"Task, Backlog",Backlog
